neighborhood,img_name,pixel_count,pixel_proportion
Dedham B,IMG_2993_Edited.PNG,334118,4.28286
Dedham B,IMG_2994_Edited.PNG,260033,3.33321
Dedham B,IMG_2995_Edited.PNG,605263,7.75851
Dedham B,IMG_2996_Edited.PNG,436309,5.59279
Dedham B,IMG_2997_Edited.PNG,211546,2.71168
Dedham B,IMG_2998_Edited.PNG,410879,5.26682
Dedham B,IMG_2999_Edited.PNG,265229,3.39982
Dedham B,IMG_3001_Edited.PNG,510571,6.54471
Dedham B,IMG_3003_Edited.PNG,237545,3.04495
Dedham B,IMG_3004_Edited.PNG,243858,3.12587
Dedham B,IMG_3005_Edited.PNG,138244,1.77207
Dedham B,IMG_3006_Edited.PNG,75886,0.97274
Dedham B,IMG_3009_Edited.PNG,138892,1.78038
Dedham B,IMG_3010_Edited.PNG,120324,1.54236
Dedham B,IMG_3011_Edited.PNG,85175,1.09181
Dedham B,IMG_3012_Edited.PNG,57720,0.73988
Dedham B,IMG_3014_Edited.PNG,145307,1.86261
Dedham B,IMG_3015_Edited.PNG,61724,0.7912
Dedham B,IMG_3016_Edited.PNG,2235,0.02865
Dedham B,IMG_3017_Edited.PNG,1735,0.02224
Dedham B,IMG_3020_Edited.PNG,653205,8.37305
Dedham B,IMG_3021_Edited.PNG,364967,4.6783
Dedham B,IMG_3022_Edited.PNG,412622,5.28916
Dedham B,IMG_3023_Edited.PNG,392276,5.02836
Dedham B,IMG_3025_Edited.PNG,312526,4.00609
Dedham B,IMG_3026_Edited.PNG,286669,3.67464
Dedham B,IMG_3028_Edited.PNG,471726,6.04678
Dedham B,IMG_3029_Edited.PNG,285052,3.65392
Dedham B,IMG_3032_Edited.PNG,470653,6.03303
Dedham B,IMG_3033_Edited.PNG,627172,8.03935
Dedham B,IMG_3034_Edited.PNG,565193,7.24488
Dedham B,IMG_3035_Edited.PNG,167878,2.15193
Dedham B,IMG_3038_Edited.PNG,337434,4.32537
Dedham B,IMG_3040_Edited.PNG,123476,1.58277
Dedham B,IMG_3041_Edited.PNG,285245,3.65639
Dedham B,IMG_3042_Edited.PNG,107932,1.38352
Dedham C,IMG_2600_Edited.PNG,158443,2.03099
Dedham C,T1 E_Edited.PNG,894531,11.46647
Dedham C,T1 N_Edited.PNG,745586,9.55723
Dedham C,T1 S_Edited.PNG,139218,1.78455
Dedham C,T1 W_Edited.PNG,1067227,13.68016
Dedham C,T10 E_Edited.PNG,110280,1.41362
Dedham C,T10 N_Edited.PNG,442886,5.6771
Dedham C,T10 S_Edited.PNG,813815,10.43182
Dedham C,T10 W_Edited.PNG,396963,5.08844
Dedham C,T2 E_Edited.PNG,611457,7.83791
Dedham C,T2 N_Edited.PNG,1347578,17.27382
Dedham C,T2 S_Edited.PNG,3031,0.03885
Dedham C,T2 W_Edited.PNG,8468,0.10855
Dedham C,T1 E_Edited.PNG,894531,11.46647
Dedham C,T1 N_Edited.PNG,745586,9.55723
Dedham C,T1 S_Edited.PNG,139218,1.78455
Dedham C,T1 W_Edited.PNG,1067227,13.68016
Dedham C,T10 E_Edited.PNG,110280,1.41362
Dedham C,T10 N_Edited.PNG,442886,5.6771
Dedham C,T10 S_Edited.PNG,813815,10.43182
Dedham C,T10 W_Edited.PNG,396963,5.08844
Dedham C,T2 E_Edited.PNG,611457,7.83791
Dedham C,T2 N_Edited.PNG,1347578,17.27382
Dedham C,T2 S_Edited.PNG,3031,0.03885
Dedham C,T2 W_Edited.PNG,8468,0.10855
Dedham C,T3 E_Edited.PNG,184173,2.36081
Dedham C,T3 N_Edited.PNG,626849,8.03521
Dedham C,T3 S_Edited.PNG,458662,5.87932
Dedham C,T3 W_Edited.PNG,223172,2.86071
Dedham C,T4 E_Edited.PNG,162768,2.08643
Dedham C,T4 N_Edited.PNG,511840,6.56098
Dedham C,T4 S_Edited.PNG,453,0.00581
Dedham C,T4 W_Edited.PNG,158,0.00203
Dedham C,T5 E_Edited.PNG,323169,4.14252
Dedham C,T5 N_Edited.PNG,250220,3.20742
Dedham C,T5 S_Edited.PNG,447170,5.73201
Dedham C,T5 W_Edited.PNG,102939,1.31952
Dedham C,T6 E_Edited.PNG,584632,7.49406
Dedham C,T6 N_Edited.PNG,256994,3.29426
Dedham C,T6 S_Edited.PNG,2096,0.02687
Dedham C,T6 W_Edited.PNG,516357,6.61888
Dedham C,T7 E_Edited.PNG,342087,4.38501
Dedham C,T7 N_Edited.PNG,70796,0.90749
Dedham C,T7 S_Edited.PNG,50253,0.64416
Dedham C,T7 W_Edited.PNG,29221,0.37457
Dedham C,T8 E_Edited.PNG,477956,6.12664
Dedham C,T8 N_Edited.PNG,98617,1.26411
Dedham C,T8 S_Edited.PNG,652401,8.36275
Dedham C,T8 W_Edited.PNG,578007,7.40914
Dedham C,T9 E_Edited.PNG,210030,2.69225
Dedham C,T9 N_Edited.PNG,649481,8.32532
Dedham C,T9 S_Edited.PNG,507432,6.50448
Dedham C,T9 W_Edited.PNG,801756,10.27724
BMA A,BMA A T10E_Edited.PNG,3664,0.1819
BMA A,BMA A T10N_Edited.PNG,6691,0.33217
BMA A,BMA A T10S_Edited.PNG,18104,0.89876
BMA A,BMA A T10W_Edited.PNG,21656,1.0751
BMA A,BMA A T1E_Edited.PNG,6886,0.34185
BMA A,BMA A T1N_Edited.PNG,9550,0.4741
BMA A,BMA A T1S_Edited.PNG,16722,0.83015
BMA A,BMA A T1W_Edited.PNG,10230,0.50786
BMA A,BMA A T2E_Edited.PNG,3499,0.17371
BMA A,BMA A T2N_Edited.PNG,5704,0.28317
BMA A,BMA A T2S_Edited.PNG,1957,0.09715
BMA A,BMA A T2W_Edited.PNG,5049,0.25065
BMA A,BMA A T3E_Edited.PNG,13409,0.66568
BMA A,BMA A T3N_Edited.PNG,5895,0.29265
BMA A,BMA A T3S_Edited.PNG,9411,0.4672
BMA A,BMA A T3W_Edited.PNG,4277,0.21233
BMA A,BMA A T4E_Edited.PNG,1880,0.09333
BMA A,BMA A T4N_Edited.PNG,8212,0.40768
BMA A,BMA A T4S_Edited.PNG,4034,0.20027
BMA A,BMA A T4W_Edited.PNG,6918,0.34344
BMA A,BMA A T5E_Edited.PNG,3171,0.15742
BMA A,BMA A T5N_Edited.PNG,19119,0.94915
BMA A,BMA A T5S_Edited.PNG,8032,0.39874
BMA A,BMA A T5W_Edited.PNG,3589,0.17817
BMA A,BMA A T6E_Edited.PNG,6607,0.328
BMA A,BMA A T6N_Edited.PNG,6343,0.31489
BMA A,BMA A T6S_Edited.PNG,4970,0.24673
BMA A,BMA A T6W_Edited.PNG,4950,0.24574
BMA A,BMA A T7E_Edited.PNG,981,0.0487
BMA A,BMA A T7N_Edited.PNG,39681,1.96993
BMA A,BMA A T7S_Edited.PNG,5306,0.26341
BMA A,BMA A T7W_Edited.PNG,6905,0.34279
BMA A,BMA A T8E_Edited.PNG,7827,0.38857
BMA A,BMA A T8N_Edited.PNG,4665,0.23159
BMA A,BMA A T8S_Edited.PNG,19991,0.99244
BMA A,BMA A T8W_Edited.PNG,5559,0.27597
BMA A,BMA A T9E_Edited.PNG,18378,0.91236
BMA A,BMA A T9N_Edited.PNG,3856,0.19143
BMA A,BMA A T9S_Edited.PNG,972,0.04825
BMA A,BMA A T9W_Edited.PNG,5609,0.27845
BMA B,IMG_4613_Edited.PNG,2172,0.10783
BMA B,IMG_4614_Edited.PNG,86521,4.29527
BMA B,IMG_4615_Edited.PNG,1845,0.09159
BMA B,IMG_4616_Edited.PNG,10850,0.53864
BMA B,IMG_4617_Edited.PNG,6333,0.3144
BMA B,IMG_4618_Edited.PNG,4735,0.23507
BMA B,IMG_4619_Edited.PNG,10988,0.54549
BMA B,IMG_4620_Edited.PNG,12585,0.62477
BMA B,IMG_4621_Edited.PNG,40086,1.99004
BMA B,IMG_4622_Edited.PNG,281805,3.61229
BMA B,IMG_4623_Edited.PNG,7925,0.39343
BMA B,IMG_4624_Edited.PNG,20510,1.0182
BMA B,IMG_4625_Edited.PNG,7081,0.35153
BMA B,IMG_4626_Edited.PNG,87172,4.32759
BMA B,IMG_4627_Edited.PNG,26683,1.32466
BMA B,IMG_4628_Edited.PNG,30201,1.49931
BMA B,IMG_4638_Edited.PNG,8290,0.41155
BMA B,IMG_4639_Edited.PNG,6458,0.3206
BMA B,IMG_4640_Edited.PNG,5032,0.24981
BMA B,IMG_4641_Edited.PNG,2169,0.10768
BMA B,IMG_4642_Edited.PNG,15307,0.7599
BMA B,IMG_4643_Edited.PNG,4352,0.21605
BMA B,IMG_4644_Edited.PNG,3140,0.15588
BMA B,IMG_4645_Edited.PNG,1925,0.09557
BMA B,IMG_4646_Edited.PNG,1036,0.05143
BMA B,IMG_4647_Edited.PNG,7494,0.37203
BMA B,IMG_4648_Edited.PNG,2604,0.12927
BMA B,IMG_4649_Edited.PNG,5384,0.26728
BMA B,IMG_4650_Edited.PNG,2587,0.12843
BMA B,IMG_4651_Edited.PNG,3579,0.17768
BMA B,IMG_4652_Edited.PNG,1204,0.05977
BMA B,IMG_4653_Edited.PNG,2853,0.14164
BMA B,IMG_4654_Edited.PNG,2945,0.1462
BMA B,IMG_4655_Edited.PNG,2577,0.12793
BMA B,IMG_4656_Edited.PNG,6194,0.3075
BMA B,IMG_4657_Edited.PNG,64570,3.20553
BMA B,IMG_4658_Edited.PNG,94,0.00467
BMA B,IMG_4659_Edited.PNG,1518,0.07536
BMA B,IMG_4660_Edited.PNG,6875,0.3413
BMA B,IMG_4661_Edited.PNG,9050,0.44928
BMA C,IMG_4666_Edited.PNG,57124,2.83588
BMA C,IMG_4667_Edited.PNG,3734,0.18537
BMA C,IMG_4668_Edited.PNG,4119,0.20448
BMA C,IMG_4669_Edited.PNG,46807,2.3237
BMA C,IMG_4670_Edited.PNG,2150,0.10674
BMA C,IMG_4671_Edited.PNG,1718,0.08529
BMA C,IMG_4672_Edited.PNG,993,0.0493
BMA C,IMG_4673_Edited.PNG,10188,0.50578
BMA C,IMG_4674_Edited.PNG,2467,0.12247
BMA C,IMG_4675_Edited.PNG,33108,1.64362
BMA C,IMG_4676_Edited.PNG,8389,0.41647
BMA C,IMG_4677_Edited.PNG,119,0.00591
BMA C,IMG_4678_Edited.PNG,1419,0.07045
BMA C,IMG_4679_Edited.PNG,23890,1.186
BMA C,IMG_4680_Edited.PNG,68870,3.419
BMA C,IMG_4681_Edited.PNG,1341,0.06657
BMA C,IMG_4682_Edited.PNG,1658,0.08231
BMA C,IMG_4683_Edited.PNG,880,0.04369
BMA C,IMG_4684_Edited.PNG,45923,2.27981
BMA C,IMG_4685_Edited.PNG,1849,0.09179
BMA C,IMG_4686_Edited.PNG,1988,0.09869
BMA C,IMG_4688_Edited.PNG,7294,0.36211
BMA C,IMG_4689_Edited.PNG,256906,12.75391
BMA C,IMG_4690_Edited.PNG,28183,1.39912
BMA C,IMG_4691_Edited.PNG,32619,1.61935
BMA C,IMG_4692_Edited.PNG,91812,4.55794
BMA C,IMG_4693_Edited.PNG,15447,0.76686
BMA C,IMG_4694_Edited.PNG,2250,0.1117
BMA C,IMG_4695_Edited.PNG,17390,0.86331
BMA C,IMG_4696_Edited.PNG,10677,0.53005
